	WORD	SENTENCE	IA_LABEL	SKIPPED	FFD	LGFFD	SFD	LGSFD	TFD	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	RPD	IA_FIRST_RUN_LANDING_POSITION	ODOL	SCD_TO	SCD_FROM	CSCD_TO	CSCD_FROM
0	1	1	六	0.6521739130434783	228.75	5.279800743953476	343.0	5.8377304471659395	94.47826086956522	0.875	1.0	0.0	0.0	0.0	0.0	5.279800743953476	24.975	0	7.666666666666667	-1.0	20.0	0.8
1	2	1	歲	0.391304347826087	176.92857142857142	5.056079587390053	205.0	5.231623549889932	194.0	0.8571428571428571	1.1428571428571428	0.0	0.0	0.2857142857142857	0.35714285714285715	5.488433261580593	15.285714285714286	2	5.6	1.0	8.714285714285714	1.0
2	3	1	嗰	0.30434782608695654	225.75	5.271501604999585	227.5	5.356583101821699	203.91304347826087	0.75	0.8125	0.0625	0.0625	0.25	0.25	5.638513927223834	11.70625	4	3.5714285714285716	1.0	5.090909090909091	1.0833333333333333
3	4	1	年，	0.5217391304347826	175.54545454545453	5.109936604025564	151.5	4.979603020646236	97.1304347826087	0.45454545454545453	0.45454545454545453	0.0	0.0	0.45454545454545453	0.45454545454545453	5.778344417428573	11.30909090909091	6	4.666666666666667	2.3333333333333335	4.142857142857143	2.2
4	5	1	我	0.43478260869565216	151.53846153846155	4.990287227097389	142.5	4.825359907606668	118.30434782608695	0.8461538461538461	0.9230769230769231	0.0	0.0	0.46153846153846156	0.5384615384615384	5.683075448874556	22.26153846153846	8	5.333333333333333	2.5	3.888888888888889	1.9090909090909092
5	6	1	喺	0.4782608695652174	183.0	5.124754944604388	276.6	5.390248341321947	155.6086956521739	0.5	0.6666666666666666	0.08333333333333333	0.08333333333333333	0.4166666666666667	0.4166666666666667	5.792171988028497	13.25	10	6.5	4.0	9.9	5.777777777777778
6	7	1	一	0.2608695652173913	166.2941176470588	5.010528364227492	160.66666666666666	4.9354117215295235	176.43478260869566	0.4117647058823529	0.4117647058823529	0.11764705882352941	0.11764705882352941	0.5882352941176471	0.7058823529411765	5.909048564716782	12.6	12	3.5714285714285716	4.444444444444445	3.2666666666666666	7.833333333333333
7	8	1	本	0.43478260869565216	198.6153846153846	5.144222015254955	162.0	5.001545819255659	140.43478260869566	0.46153846153846156	0.46153846153846156	0.15384615384615385	0.15384615384615385	0.6153846153846154	0.6923076923076923	5.814159088311158	11.915384615384614	14	4.0	4.75	4.111111111111111	5.625
8	9	1	書	0.5217391304347826	218.54545454545453	5.288116334360229	248.66666666666666	5.4469150000582625	143.2608695652174	0.18181818181818182	0.2727272727272727	0.2727272727272727	0.45454545454545453	0.36363636363636365	0.5454545454545454	5.89709039951581	14.372727272727273	16	4.142857142857143	3.75	6.333333333333333	7.0
9	10	1	入	0.6521739130434783	237.75	5.299207464385035	0.0	0.0	82.69565217391305	0.25	0.25	0.125	0.125	0.25	0.25	5.63165326216787	18.3125	18	3.6666666666666665	6.0	4.875	6.75
10	11	1	面	0.6086956521739131	216.77777777777777	5.341968450228903	197.0	5.2832037287379885	93.3913043478261	0.2222222222222222	0.2222222222222222	0.1111111111111111	0.1111111111111111	0.2222222222222222	0.2222222222222222	5.509037596050921	13.3	20	4.666666666666667	3.8333333333333335	7.375	5.857142857142857
11	12	1	見	0.43478260869565216	190.30769230769232	5.090943356855472	156.0	5.00665428243963	131.43478260869566	0.15384615384615385	0.15384615384615385	0.07692307692307693	0.07692307692307693	0.15384615384615385	0.15384615384615385	5.545298653887162	11.861538461538462	22	2.6666666666666665	4.666666666666667	3.4545454545454546	7.9
12	13	1	過	0.5217391304347826	243.36363636363637	5.425472401965927	196.33333333333334	5.274059924526479	153.43478260869566	0.45454545454545453	0.5454545454545454	0.18181818181818182	0.18181818181818182	0.18181818181818182	0.18181818181818182	5.685329225814873	15.463636363636361	24	2.4285714285714284	4.142857142857143	3.625	5.888888888888889
13	14	1	幅	0.34782608695652173	278.06666666666666	5.5180511548410065	283.0	5.591590660673968	218.2608695652174	0.4666666666666667	0.5333333333333333	0.06666666666666667	0.06666666666666667	0.06666666666666667	0.06666666666666667	5.737677908371135	16.466666666666665	26	2.5	3.2857142857142856	4.857142857142857	3.6666666666666665
14	15	1	好	0.391304347826087	187.35714285714286	5.216379992886646	247.5	5.33326693023787	135.56521739130434	0.21428571428571427	0.21428571428571427	0.07142857142857142	0.07142857142857142	0.07142857142857142	0.07142857142857142	5.42714321400546	13.85714285714286	28	1.6666666666666667	3.111111111111111	3.5384615384615383	5.2
15	16	1	得人驚	0.0	238.2173913043478	5.357918720526178	224.875	5.374767029125959	541.3478260869565	0.43478260869565216	0.5652173913043478	0.2608695652173913	0.2608695652173913	0.4782608695652174	0.6956521739130435	5.938085174764981	46.22173913043479	30	2.0	3.0526315789473686	3.0	5.7272727272727275
16	17	1	嘅	0.30434782608695654	221.25	5.294417803802371	108.5	4.16207230483109	179.52173913043478	0.25	0.3125	0.125	0.125	0.3125	0.375	5.70483519731337	15.29375	32	3.5714285714285716	1.75	8.6	5.0
