	WORD	SENTENCE	IA_LABEL	SKIPPED	FFD	LGFFD	SFD	LGSFD	TFD	IA_REGRESSION_IN	IA_REGRESSION_IN_COUNT	IA_REGRESSION_OUT	IA_REGRESSION_OUT_COUNT	IA_REGRESSION_OUT_FULL	IA_REGRESSION_OUT_FULL_COUNT	RPD	IA_FIRST_RUN_LANDING_POSITION	ODOL	SCD_TO	SCD_FROM	CSCD_TO	CSCD_FROM
0	1	1	六	0.9130434782608695	137.0	4.916747090357797	0.0	0.0	11.91304347826087	1.0	1.0	0.0	0.0	0.0	0.0	4.916747090357797	30.85	0	2.5	-1.0	1.5	1.0
1	2	1	歲	0.30434782608695654	217.4375	5.2837623798340845	126.5	4.758281062111822	189.08695652173913	1.0	1.25	0.0	0.0	0.0625	0.0625	5.342272426514434	14.8875	1	7.4	-1.0	6.909090909090909	1.0
2	3	1	嗰	0.21739130434782608	186.22222222222223	5.107258175480785	193.71428571428572	5.091516277831593	213.91304347826087	0.8888888888888888	1.0555555555555556	0.1111111111111111	0.1111111111111111	0.4444444444444444	0.5555555555555556	5.584763792511429	14.488888888888889	2	4.142857142857143	1.5	2.4	0.9230769230769231
3	4	1	年，	0.43478260869565216	150.07692307692307	4.867440084551568	177.0	5.08154610928482	115.6086956521739	0.46153846153846156	0.6923076923076923	0.3076923076923077	0.3076923076923077	0.6153846153846154	0.6923076923076923	5.642009767722093	17.900000000000002	3	10.25	2.0	4.7	1.0
4	5	1	我	0.5652173913043478	118.0	4.741290719407312	129.0	4.8597823571875995	74.34782608695652	0.4	0.4	0.1	0.1	0.4	0.4	5.6774563134658145	29.560000000000002	4	4.0	3.0	1.5714285714285714	1.5
5	6	1	喺	0.4782608695652174	220.5	5.3043540684475365	230.5	5.297589770131586	207.34782608695653	0.6666666666666666	0.9166666666666666	0.25	0.25	0.3333333333333333	0.4166666666666667	5.861132260531073	11.658333333333333	5	4.142857142857143	3.0	2.3636363636363638	1.4
6	7	1	一	0.2608695652173913	169.05882352941177	4.934976430000363	173.36363636363637	5.000147987343322	265.5217391304348	0.5882352941176471	0.8823529411764706	0.058823529411764705	0.058823529411764705	0.17647058823529413	0.23529411764705882	5.3698474020334706	17.094117647058823	6	4.428571428571429	3.1666666666666665	3.125	2.2222222222222223
7	8	1	本	0.2608695652173913	221.2941176470588	5.2733139906797195	194.22222222222223	5.142364708311346	319.6521739130435	0.8235294117647058	1.3529411764705883	0.058823529411764705	0.11764705882352941	0.47058823529411764	0.5294117647058824	5.492643495600266	11.429411764705883	7	6.75	6.5	5.25	2.5714285714285716
8	9	1	書	0.30434782608695654	234.75	5.1765498145940505	222.33333333333334	5.068970407863005	257.4347826086956	0.5625	0.6875	0.0625	0.0625	0.375	0.5	5.6697216554397505	15.8875	8	5.428571428571429	3.6	4.625	1.75
9	10	1	入	0.391304347826087	205.57142857142858	5.157561439775769	185.57142857142858	5.093496819846972	192.2608695652174	0.7142857142857143	0.7857142857142857	0.0	0.0	0.42857142857142855	0.5	5.550038569574416	10.47857142857143	9	7.625	3.75	8.2	1.875
